name,location,Team Names,seasons played,record,playoff appearance,championship
Atlanta Hawks,"Atlanta, Georgia","Atlanta Hawks, St. Louis Hawks, Milwaukee Hawks, Tri-Cities Blackhawks",73;    1949-50 to 2021-22,"2835-2914, .493 W-L%",47,1
Washington Wizards,"Washington, District of Columbia","Washington Wizards, Washington Bullets, Capital Bullets, Baltimore Bullets, Chicago Zephyrs, Chicago Packers",61;    1961-62 to 2021-22,"2214-2685, .452 W-L%",30,1
Utah Jazz,"Salt Lake City, Utah","Utah Jazz, New Orleans Jazz",48;    1974-75 to 2021-22,"2096-1748, .545 W-L%",30,0
Toronto Raptors,"Toronto, Canada",Toronto Raptors,27;    1995-96 to 2021-22,"1014-1107, .478 W-L%",12,1
San Antonio Spurs,"San Antonio, Texas","San Antonio Spurs, Texas Chaparrals, Dallas Chaparrals",55 (46 NBA & 9 ABA);    1967-68 to 2021-22,"2628-1796, .594 W-L%      (2250-1430 NBA & 378-366 ABA)",47      (39 NBA & 8 ABA),5      (5 NBA & 0 ABA)
Sacramento Kings,"Sacramento, California","Sacramento Kings, Kansas City Kings, Kansas City-Omaha Kings, Cincinnati Royals, Rochester Royals",74;    1948-49 to 2021-22,"2646-3173, .455 W-L%",29,1
Portland Trail Blazers,"Portland, Oregon",Portland Trail Blazers,52;    1970-71 to 2021-22,"2236-1939, .536 W-L%",37,1
Phoenix Suns,"Phoenix, Arizona",Phoenix Suns,54;    1968-69 to 2021-22,"2319-2018, .535 W-L%",30,0
Philadelphia 76ers,"Philadelphia, Pennsylvania","Philadelphia 76ers, Syracuse Nationals",73;    1949-50 to 2021-22,"2984-2769, .519 W-L%",51,3
Orlando Magic,"Orlando, Florida",Orlando Magic,33;    1989-90 to 2021-22,"1225-1392, .468 W-L%",16,0
Oklahoma City Thunder,"Oklahoma City, Oklahoma","Oklahoma City Thunder, Seattle SuperSonics",55;    1967-68 to 2021-22,"2367-2051, .536 W-L%",32,1
New York Knicks,"New York, New York",New York Knicks,76;    1946-47 to 2021-22,"2865-3053, .484 W-L%",43,2
New Orleans Pelicans,"New Orleans, Louisiana","New Orleans Pelicans, New Orleans/Oklahoma City Hornets, New Orleans Hornets",20;    2002-03 to 2021-22,"727-854, .460 W-L%",7,0
Minnesota Timberwolves,"Minneapolis, Minnesota",Minnesota Timberwolves,33;    1989-90 to 2021-22,"1034-1573, .397 W-L%",9,0
Milwaukee Bucks,"Milwaukee, Wisconsin",Milwaukee Bucks,54;    1968-69 to 2021-22,"2267-2072, .522 W-L%",33,2
Miami Heat,"Miami, Florida",Miami Heat,34;    1988-89 to 2021-22,"1416-1282, .525 W-L%",22,3
Memphis Grizzlies,"Memphis, Tennessee","Memphis Grizzlies, Vancouver Grizzlies",27;    1995-96 to 2021-22,"905-1220, .426 W-L%",11,0
Los Angeles Lakers,"Los Angeles, California","Los Angeles Lakers, Minneapolis Lakers",74;    1948-49 to 2021-22,"3454-2362, .594 W-L%",62,17
Los Angeles Clippers,"Los Angeles, California","Los Angeles Clippers, San Diego Clippers, Buffalo Braves",52;    1970-71 to 2021-22,"1736-2439, .416 W-L%",16,0
Indiana Pacers,"Indianapolis, Indiana",Indiana Pacers,55 (46 NBA & 9 ABA);    1967-68 to 2021-22,"2270-2156, .513 W-L%      (1843-1839 NBA & 427-317 ABA)",36      (27 NBA & 9 ABA),3      (0 NBA & 3 ABA)
Houston Rockets,"Houston, Texas","Houston Rockets, San Diego Rockets",55;    1967-68 to 2021-22,"2301-2117, .521 W-L%",34,2
Golden State Warriors,"San Francisco, California","Golden State Warriors, San Francisco Warriors, Philadelphia Warriors",76;    1946-47 to 2021-22,"2868-3048, .485 W-L%",35,6
Detroit Pistons,"Detroit, Michigan","Detroit Pistons, Fort Wayne Pistons",74;    1948-49 to 2021-22,"2786-3024, .480 W-L%",42,3
Denver Nuggets,"Denver, Colorado","Denver Nuggets, Denver Rockets",55 (46 NBA & 9 ABA);    1967-68 to 2021-22,"2242-2183, .507 W-L%      (1829-1852 NBA & 413-331 ABA)",36      (27 NBA & 9 ABA),0      (0 NBA & 0 ABA)
Dallas Mavericks,"Dallas, Texas",Dallas Mavericks,42;    1980-81 to 2021-22,"1692-1664, .504 W-L%",23,1
Cleveland Cavaliers,"Cleveland, Ohio",Cleveland Cavaliers,52;    1970-71 to 2021-22,"1924-2241, .462 W-L%",22,1
Chicago Bulls,"Chicago, Illinois",Chicago Bulls,56;    1966-67 to 2021-22,"2296-2197, .511 W-L%",35,6
Charlotte Hornets,"Charlotte, North Carolina","Charlotte Bobcats, Charlotte Hornets",32;    1988-89 to 2021-22,"1112-1415, .440 W-L%",10,0
Brooklyn Nets,"Brooklyn, New York","Brooklyn Nets, New Jersey Nets, New York Nets, New Jersey Americans",55 (46 NBA & 9 ABA);    1967-68 to 2021-22,"1938-2487, .438 W-L%      (1564-2117 NBA & 374-370 ABA)",29      (22 NBA & 7 ABA),2      (0 NBA & 2 ABA)
